QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,call_mid,put_mid,T,parity_residual,iv_gap,moneyness,side,score,label
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2022-12-16,1671224400,22.0, 0.088100, 0.008560, 0.066600, -0.066760, 0.008180,0.4545, 233.000000, 0.710000, 127 x 5,0.7,0.76,195.0,29.95,32.1, 25 x 56, 30.500000, -0.827700, 0.009550, 0.104220, -0.130290, -0.068780,0.62945, 1.000000,29.8,0.18,0.73,31.025,0.06027397260273973,-0.8550341260079612,-0.17494999999999994,1.180458865548762,K>S,0.9995340785079612,S1_bear
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2022-12-23,1671829200,29.0, 0.251290, 0.014980, 0.150600, -0.116540, 0.031500,0.44753, 56.000000, 2.960000, 134 x 71,2.71,3.25,182.5,19.35,21.55, 55 x 2, 0.000000, -0.712720, 0.013910, 0.160470, -0.132150, -0.091750,0.52063, ,17.3,0.105,2.98,20.450000000000003,0.07945205479452055,-0.6078846077808784,-0.07310000000000005,1.1047884254494824,K>S,0.6682615527808784,S1_bear
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2022-12-23,1671829200,29.0, 0.220780, 0.013820, 0.140430, -0.109440, 0.027710,0.45243, 170.000000, 2.320000, 61 x 37,2.35,2.76,185.0,21.4,23.35, 56 x 45, 30.740000, -0.743690, 0.013090, 0.151280, -0.124060, -0.092330,0.52037, 2.000000,19.8,0.12,2.5549999999999997,22.375,0.07945205479452055,-0.4658172013663844,-0.06794,1.1199225134693382,K>S,0.5219322443663844,S1_bear
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2023-01-20,1674248400,57.0, 0.320280, 0.011690, 0.236020, -0.100620, 0.074750,0.4633, 696.000000, 5.500000, 192 x 51,5.55,6.0,185.0,23.85,24.7, 133 x 140, 25.920000, -0.679620, 0.011760, 0.235270, -0.085590, -0.167000,0.47954, 31.000000,19.8,0.12,5.775,24.275,0.15616438356164383,0.4157520036295068,-0.016240000000000032,1.1199225134693382,K>S,0.4291654316295068,None
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2023-01-20,1674248400,57.0, 0.680640, 0.010660, 0.235190, -0.115060, 0.147510,0.50651, 280.000000, 19.450000, 31 x 47,19.35,19.85,155.0,8.15,8.45, 51 x 422, 8.310000, -0.324460, 0.010440, 0.237720, -0.101840, -0.092670,0.52896, 936.000000,10.2,0.062,19.6,8.3,0.15616438356164383,0.4025651851476262,-0.02244999999999997,0.9383134572310673,K<S,0.42110776264762617,None
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2023-01-20,1674248400,57.0, 0.375470, 0.012390, 0.250510, -0.106930, 0.087170,0.46382, 1192.000000, 7.140000, 200 x 13,7.0,7.4,180.0,20.25,21.25, 8 x 124, 21.330000, -0.623500, 0.012350, 0.250090, -0.092580, -0.160850,0.48192, 103.000000,14.8,0.09,7.2,20.75,0.15616438356164383,0.3968875338825164,-0.018100000000000005,1.0896543374296266,K>S,0.4118372288825164,None
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2023-01-20,1674248400,57.0, 0.622750, 0.011690, 0.250700, -0.117130, 0.137030,0.4925, 597.000000, 16.300000, 115 x 1,16.3,16.5,160.0,9.9,10.3, 299 x 230, 10.150000, -0.380070, 0.011300, 0.250620, -0.104390, -0.107590,0.51468, 284.000000,5.2,0.031,16.4,10.100000000000001,0.15616438356164383,0.3714296548946123,-0.022180000000000033,0.9685816332707791,K<S,0.38974922589461236,None
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2022-12-30,1672434000,36.0, 0.140510, 0.009770, 0.117900, -0.071550, 0.021900,0.43529, 116.000000, 1.600000, 2 x 1,1.4,1.7,195.0,30.45,31.7, 31 x 43, 31.880000, -0.821310, 0.009910, 0.134970, -0.081540, -0.107760,0.51171, 1.000000,29.8,0.18,1.5499999999999998,31.075,0.09863013698630137,-0.31995270712629775,-0.07641999999999999,1.180458865548762,K>S,0.38307180612629776,S1_bear
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2023-01-20,1674248400,57.0, 0.562290, 0.012410, 0.259440, -0.119000, 0.126040,0.48333, 312.000000, 13.650000, 177 x 1,13.45,13.75,165.0,12.05,12.5, 32 x 25, 12.370000, -0.439620, 0.012020, 0.259930, -0.105420, -0.122980,0.50441, 357.000000,0.2,0.001,13.6,12.275,0.15616438356164383,0.36529412464157573,-0.021080000000000043,0.9988498093104909,K<S,0.3827051506415758,None
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2023-01-20,1674248400,57.0, 0.499480, 0.012760, 0.262900, -0.117550, 0.112840,0.47664, 575.000000, 11.150000, 39 x 1,11.0,11.3,170.0,14.6,15.0, 25 x 27, 15.220000, -0.500820, 0.012440, 0.262510, -0.103320, -0.137510,0.49681, 38.000000,4.8,0.029,11.15,14.8,0.15616438356164383,0.3591585943885658,-0.020169999999999966,1.0291179853502028,K>S,0.37581800588856573,None
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2023-01-20,1674248400,57.0, 0.593230, 0.012030, 0.256210, -0.118720, 0.131320,0.4901, 1049.000000, 14.970000, 245 x 233,14.75,15.25,162.5,10.95,11.45, 42 x 375, 11.550000, -0.410000, 0.011680, 0.256680, -0.105860, -0.115310,0.5118, 216.000000,2.7,0.016,15.0,11.2,0.15616438356164383,0.3558618897680965,-0.021700000000000053,0.983715721290635,K<S,0.37378500476809656,None
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2023-01-20,1674248400,57.0, 0.437280, 0.012700, 0.259740, -0.114420, 0.100660,0.47172, 402.000000, 8.710000, 31 x 575,8.8,9.35,175.0,17.4,18.0, 100 x 85, 17.870000, -0.562020, 0.012430, 0.259970, -0.099570, -0.149740,0.49149, 52.000000,9.8,0.059,9.075,17.7,0.15616438356164383,0.3530230641355274,-0.01977000000000001,1.0593861613899147,K>S,0.3693520956355274,None
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2023-01-20,1674248400,57.0, 0.653130, 0.011300, 0.243890, -0.116040, 0.142460,0.49659, 215.000000, 18.000000, 244 x 141,17.55,18.25,157.5,9.0,9.3, 138 x 67, 9.220000, -0.352340, 0.010870, 0.244830, -0.103540, -0.100460,0.52078, 164.000000,7.7,0.047,17.9,9.15,0.15616438356164383,0.33699742002110433,-0.024190000000000045,0.9534475452509232,K<S,0.35697715052110435,None
1669323600, 2022-11-24 16:00,2022-11-24,16.0,165.19, 2023-01-20,1674248400,57.0, 0.709660, 0.010270, 0.225490, -0.110530, 0.152610,0.50382, 1458.000000, 20.620000, 216 x 24,20.75,21.4,152.5,7.1,7.65, 149 x 85, 7.530000, -0.297820, 0.010000, 0.228760, -0.099340, -0.084790,0.53007, 195.000000,12.7,0.077,21.075,7.375,0.15616438356164383,0.3181329502741441,-0.026249999999999996,0.9231793692112114,K<S,0.3398141377741441,None
