ticker,adtv_10d,total_opt_vol,sum_oi,unique_strikes,med_rel_spread,ivxvol_sum,nearest_expiry,unique_strikes_near,opt_vol_near,oi_near,med_rel_spread_near,low_adtv_flag,low_adtv_cut,atm_iv_pct,_grp,mean_atm_iv,std_atm_iv,mean_optvol_near,atm_iv_z,vol_ratio,suspicious_flag
AAOI,5876350,5295,17178,18,0.8999999999999999,8509.35,2025-10-17,13,1398,9041,1.5555555555555556,True,14334680.00000001,138.47687011718747,chips,87.10723650750882,35.79945756047588,32872.31707317073,1.4349277086922376,0.04252818555163549,False
ABNB,4848520,3911,20367,12,1.0285714285714287,2185.71,2025-10-17,10,2728,18374,1.042857142857143,True,14334680.00000001,52.6371923828125,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.8176459349643002,0.040904585429911676,False
ACHR,87164820,158341,321577,21,0.11894172130771695,249811.81,2025-10-17,20,124554,278000,0.1942886282508924,False,14334680.00000001,136.71906640624996,defense,82.68200137695312,35.88429860686697,10215.52,1.5058693391587172,12.19262455557818,False
ADBE,3613470,52109,42304,33,0.172322375397667,64156.16,2025-10-17,32,45596,36558,0.2727272727272727,True,14334680.00000001,40.65000756835938,ai,79.03060400604784,32.27975642585164,66691.78947368421,-1.1889989481751755,0.6836823597002393,False
ADI,3476250,534,2078,3,0.15652173913043485,318.15,2025-10-17,2,426,1907,0.6174603174603175,True,14334680.00000001,67.40755249023438,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.5502788410689139,0.012959232507150729,False
AEHR,2608740,683,7337,4,0.31578947368421056,861.67,2025-10-17,2,352,4528,0.9999999999999999,True,14334680.00000001,130.66440917968748,chips,87.10723650750882,35.79945756047588,32872.31707317073,1.2166992362551223,0.010708098221871024,False
AEM,2755350,4350,9479,16,0.26217843459222767,5940.5,2025-10-17,13,2769,7690,0.8333333333333333,True,14334680.00000001,75.75707836914063,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.5585688195734508,0.3306106108918262,False
AEP,3550390,1701,16416,5,0.9333333333333335,768.61,2025-10-17,4,750,9419,1.6065573770491803,True,14334680.00000001,54.73678076171876,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.6637166732297252,0.07935261094136244,False
AER,1114650,206,361,1,0.9767441860465115,121.71,2025-10-17,1,206,361,0.9767441860465115,True,14334680.00000001,59.692785888671885,defense,82.68200137695312,35.88429860686697,10215.52,-0.6406483164166382,0.02016539539837424,False
AES,13005720,8786,38076,7,0.6666666666666666,9130.21,2025-10-17,5,4479,27816,0.9333333333333333,True,14334680.00000001,85.1563984375,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.16693885711533757,0.47389379254181646,False
AFRM,5496540,70633,75216,38,0.2222222222222222,73888.25,2025-10-17,34,42098,66611,0.25641025641025633,True,14334680.00000001,95.70316796875,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.5165021613778266,0.6312321251570461,False
AG,25276880,40410,121091,20,0.14285714285714285,49542.18,2025-10-17,15,25654,99835,0.20000000000000004,False,14334680.00000001,97.26592773437501,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.04063418212233223,3.0630135831776486,False
AI,9637550,88991,176053,16,0.24285714285714294,99256.05,2025-10-17,13,50574,142657,0.28571428571428575,True,14334680.00000001,90.62509374999999,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.3591876466163965,0.7583242315001294,False
AKAM,1424780,51,2928,1,2.0,126.4,2025-10-17,1,51,2928,2.0,True,14334680.00000001,78.9067158203125,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.0038379529294131146,0.0007647118243861786,False
ALB,3484760,4565,19020,16,0.33962264150943394,5411.42,2025-10-17,13,1827,13338,0.4598201334493762,True,14334680.00000001,98.73074023437502,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.0053613919214928,0.21813852874661122,False
AMAT,8698990,20758,34061,20,0.25531914893617036,13851.199999999999,2025-10-17,16,16885,29586,0.48979591836734687,True,14334680.00000001,57.141541870117194,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.8370432592943816,0.5136540865803757,False
AMD,107818650,868904,920397,74,0.052166424945612744,711475.05,2025-10-17,67,710339,735932,0.18181818181818174,False,14334680.00000001,66.95589685058594,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.5628951115497014,21.60903347393648,False
AMKR,2897650,4078,14037,11,0.29999999999999993,4128.5,2025-10-17,5,1944,8703,1.0285714285714287,True,14334680.00000001,88.965236328125,chips,87.10723650750882,35.79945756047588,32872.31707317073,0.051900222719226244,0.05913790608896952,False
AMZN,45452960,563273,991822,42,0.07846153846153853,269941.11,2025-10-17,37,407120,712740,0.15473887814313342,False,14334680.00000001,42.22469885253906,ai,79.03060400604784,32.27975642585164,66691.78947368421,-1.1402163222034822,6.104499567531393,False
APP,6587170,35751,52870,78,0.24499999999999994,30853.86,2025-10-17,63,26166,45264,0.29473684210526324,True,14334680.00000001,66.22348229980469,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.39675397599922446,0.392342148958603,False
ARM,7519760,58611,140064,39,0.24440298507462682,54554.090000000004,2025-10-17,35,40506,101027,0.3054357204486626,True,14334680.00000001,80.32246240234375,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.18952170137504398,1.2322222345883742,False
ASX,7890660,5165,7297,2,0.09900990099009901,3384.12,2025-10-17,2,4792,5996,0.3828382838283828,True,14334680.00000001,75.39087109375001,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.3272777358139128,0.14577615533865326,False
ATI,1150960,1611,3042,7,0.24390243902439016,13470.44,2025-10-17,6,1467,2986,0.22619047619047628,True,14334680.00000001,72.26590234375,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.6426365889963657,0.1751555674172297,False
ATRO,681570,120,109,1,1.826086956521739,73.62,2025-11-21,1,120,109,1.826086956521739,True,14334680.00000001,69.51934777832032,defense,82.68200137695312,35.88429860686697,10215.52,-0.3668081614980748,0.011746832270897614,False
AU,2966990,4227,10448,10,0.16263736263736256,6180.1,2025-10-17,7,1606,5430,0.5515372395103261,True,14334680.00000001,87.35364208984376,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.27932273232950305,0.1917517663749631,False
AVAV,1354030,4484,2783,18,0.8782358581016301,4266.1,2025-10-17,17,4331,2592,0.8782358581016301,True,14334680.00000001,75.3054227294922,defense,82.68200137695312,35.88429860686697,10215.52,-0.20556563549633705,0.42396275471047973,False
AVGO,23123520,182451,358858,70,0.06557377049180334,169047.38,2025-10-17,65,140832,288485,0.0833333333333333,False,14334680.00000001,57.727473510742186,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.8206762056976845,4.284212752223126,False
AXON,522690,10383,3266,12,0.07709139097338857,16119.96,2025-10-17,12,10083,2962,0.07199100112485929,True,14334680.00000001,76.23314782714843,defense,82.68200137695312,35.88429860686697,10215.52,-0.17971240347918116,0.9870275815621721,False
BA,7667980,46500,160312,26,0.206085118117474,26164.32,2025-10-17,24,33447,126593,0.28571428571428575,True,14334680.00000001,39.79552392578125,defense,82.68200137695312,35.88429860686697,10215.52,-1.195132108363543,3.2741358247059376,False
BBAI,143779390,68402,207432,15,0.2857142857142858,122284.83,2025-10-17,10,43728,150996,0.35897435897435886,False,14334680.00000001,165.625171875,ai,79.03060400604784,32.27975642585164,66691.78947368421,2.6826276731010847,0.6556729148384083,False
BILL,2349900,793,11421,4,1.8787878787878787,1540.3400000000001,2025-10-17,4,703,11385,1.5,True,14334680.00000001,73.437765625,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.17326148026844304,0.01054102769693105,False
BOX,1642350,339,1934,2,0.3447204968944099,251.34,2025-10-17,1,100,138,0.4285714285714285,True,14334680.00000001,64.062859375,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.46368827675108276,0.0014994349497768208,False
BRZE,1947450,154,618,2,1.2647058823529411,622.24,2025-10-17,1,60,315,2.0,True,14334680.00000001,107.81296093750001,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.8916534732090317,0.0008996609698660925,False
BTG,51939410,7741,27959,5,0.13737734165923282,6831.79,2025-10-17,4,1581,15958,0.10526315789473682,False,14334680.00000001,115.625421875,mining,98.95338873650046,41.52811534498759,8375.411764705883,0.40146375533778816,0.18876683850486717,False
BWXT,1260200,1569,5268,4,0.25906735751295334,1066.02,2025-10-17,3,664,1365,0.9565217391304349,True,14334680.00000001,68.555001953125,defense,82.68200137695312,35.88429860686697,10215.52,-0.3936819158316981,0.06499913856563347,False
CAMT,560160,1242,3781,4,0.1183431952662721,1213.4,2025-11-21,4,1242,3781,0.1183431952662721,True,14334680.00000001,67.24886267089845,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.5547115847513526,0.03778255111239719,False
CCJ,5226680,12044,52318,18,0.32044198895027626,12368.55,2025-10-17,15,8212,31262,0.44723183391003474,True,14334680.00000001,78.46701220703125,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.27618213289009064,0.8688581880672911,False
CDE,14968830,15330,49697,7,0.15384615384615385,19494.37,2025-10-17,4,9513,25964,0.23529411764705876,False,14334680.00000001,123.828505859375,mining,98.95338873650046,41.52811534498759,8375.411764705883,0.5989946068158605,1.1358247531289067,False
CDNS,1483740,733,2006,2,0.4266666666666666,536.51,2025-10-17,2,589,1422,1.2133333333333334,True,14334680.00000001,62.17078845214844,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.6965593825893963,0.01791781208148305,False
CEG,2907770,3914,6900,17,0.6807017543859649,3672.79,2025-10-17,16,2561,5865,0.7894736842105263,True,14334680.00000001,71.31376342773439,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.3930006723134577,0.2709627154944389,False
CFLT,11032140,5604,91993,13,0.3492063492063492,8176.87,2025-10-17,8,2460,43889,0.9999999999999999,True,14334680.00000001,190.625302734375,ai,79.03060400604784,32.27975642585164,66691.78947368421,3.457110929094718,0.036886099764509794,False
CMS,2238850,284,290,1,0.12244897959183683,266.8,2025-10-17,1,284,290,0.12244897959183683,True,14334680.00000001,57.22699023437501,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.6230494683792697,0.030048188676462573,False
COHR,3225350,5877,7362,16,0.5688073394495413,6406.67,2025-10-17,13,2059,6717,0.6060606060606061,True,14334680.00000001,118.75040625,chips,87.10723650750882,35.79945756047588,32872.31707317073,0.8839008157885214,0.06263629045122852,False
CRWD,2518040,17338,39425,40,0.18181818181818185,10304.78,2025-10-17,35,12867,34710,0.22868973676427093,True,14334680.00000001,52.85691674804689,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.8108390569217377,0.19293229498778355,False
CW,236370,100,32,1,2.0,126.76,2025-10-17,1,100,32,2.0,True,14334680.00000001,43.530838134765624,defense,82.68200137695312,35.88429860686697,10215.52,-1.0910388320839401,0.009789026892414678,False
CWAN,3591310,255,251,1,0.21138211382113817,914.41,2025-10-17,1,255,251,0.21138211382113817,True,14334680.00000001,86.719146484375,defense,82.68200137695312,35.88429860686697,10215.52,0.1125045009699399,0.02496201857565743,False
D,4831120,13046,27601,4,0.4543325526932084,5480.02,2025-10-17,2,7618,15549,0.644808743169399,True,14334680.00000001,54.004366210937505,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.6756776158328004,0.806010920201732,False
DDOG,4207570,12585,42389,20,0.6751592356687898,14504.98,2025-10-17,17,10674,41034,0.6747889201599764,True,14334680.00000001,91.16219775390624,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.37582668183154777,0.16004968653917787,False
DNN,122556190,34952,112954,8,0.2361111111111111,57019.6,2025-10-17,5,6910,77936,0.6666666666666666,False,14334680.00000001,189.06255468749998,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,1.5299356379185534,0.7311020554730858,False
DOCN,3379560,8577,21851,7,0.19718309859154923,10986.33,2025-10-17,6,4134,8947,0.22222222222222215,True,14334680.00000001,123.24257128906248,ai,79.03060400604784,32.27975642585164,66691.78947368421,1.3696499657477883,0.061986640823773774,False
DOCU,3402690,5946,6987,10,1.2000000000000002,3823.34,2025-10-17,8,1538,6721,1.3777777777777778,True,14334680.00000001,75.63500927734376,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.10519269984282408,0.023061309527567506,False
DRS,739190,362,568,3,1.764705882352941,329.21,2025-10-17,2,251,537,1.5575221238938053,True,14334680.00000001,66.30893066406249,defense,82.68200137695312,35.88429860686697,10215.52,-0.4562739512416558,0.024570457499960844,False
DT,2504260,454,1026,2,1.1538461538461537,315.69,2025-10-17,1,50,391,2.0,True,14334680.00000001,60.35195898437501,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.5786488836921274,0.0007497174748884104,False
DUK,2562450,167,8792,1,0.25242718446601936,87.58,2025-10-17,1,167,8792,0.25242718446601936,True,14334680.00000001,40.86973193359375,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.8901771865146149,0.017669181369610036,False
DUOL,1144160,2495,6405,16,1.1232876712328765,2417.29,2025-10-17,13,2023,6348,1.1573950452455126,True,14334680.00000001,89.84385156249999,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.33498541357617656,0.030333569033985087,False
ED,1655880,213,896,1,0.3076923076923076,50.73,2025-11-21,1,213,896,0.3076923076923076,True,14334680.00000001,29.584444396972653,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-1.0744753771236644,0.02253614150734693,False
EE,538420,105,35,1,0.5567010309278352,69.42,2025-11-21,1,105,35,0.5567010309278352,True,14334680.00000001,73.73073144531249,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.16418564287836088,0.0015744066972656619,False
EGO,2564930,3942,9118,5,0.16216216216216217,5085.83,2025-10-17,4,1618,1702,0.16666666666666669,True,14334680.00000001,69.14093359374999,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.7178860609273665,0.19318453175260916,False
EIX,3723170,1006,12059,5,0.5610561056105611,1204.8,2025-10-17,5,1006,12059,0.5610561056105611,True,14334680.00000001,81.7384638671875,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.22275658926302153,0.10643830214268081,False
ENTG,2412030,108,126,1,2.0,84.59,2025-11-21,1,108,126,2.0,True,14334680.00000001,69.9648999633789,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.4788434717249958,0.0032854392271649733,False
EQX,14227260,9698,24195,4,0.22222222222222215,16656.63,2025-10-17,2,6565,18363,0.25757575757575757,True,14334680.00000001,67.57844921875001,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.7555107968928664,0.7838420586871936,False
ESTC,2050140,1812,15298,3,1.0705882352941178,1200.58,2025-10-17,2,1399,8130,0.9411764705882354,True,14334680.00000001,64.3558251953125,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.45461243936100015,0.020977094947377723,False
ETR,2993750,477,1923,2,0.5650349650349651,233.66,2025-10-17,1,312,595,0.5454545454545454,True,14334680.00000001,48.19387744140625,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.7705677604838633,0.03301068615160677,False
EVRG,2043990,100,334,1,2.0,61.82,2025-10-17,1,100,334,2.0,True,14334680.00000001,69.5315546875,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.4221056326476073,0.01058034812551499,False
EXK,21327900,12352,52584,6,0.16638078902229841,13378.9,2025-10-17,3,4473,10631,0.19140083217753126,False,14334680.00000001,127.34411328124997,mining,98.95338873650046,41.52811534498759,8375.411764705883,0.683650686020748,0.5340632945175654,False
FFIV,636530,4816,2063,11,0.3258014404745092,4581.89,2025-10-17,8,2439,1835,0.6825910931174088,True,14334680.00000001,85.46157116699217,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.19922601261619236,0.03657121842505666,False
FNV,894080,599,1345,2,1.0335143231604569,379.97,2025-10-17,2,410,1020,1.7551020408163267,True,14334680.00000001,70.21514160156251,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.6920190549510847,0.0489528170695734,False
FORM,1085650,100,225,1,2.0,160.94,2025-10-17,1,100,225,2.0,True,14334680.00000001,111.52366210937498,chips,87.10723650750882,35.79945756047588,32872.31707317073,0.6820333956351041,0.0030420733584860865,False
FROG,814000,1676,2027,2,1.1923076923076923,1620.32,2025-10-17,1,505,650,2.0,True,14334680.00000001,80.7619111328125,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.05363445448361945,0.0075721464963729454,False
FSM,20460930,1054,10356,2,0.09523809523809532,976.6,2025-10-17,2,337,4528,1.1025641025641026,False,14334680.00000001,85.937640625,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.31342014929823797,0.04023682768889326,False
