ticker,adtv_10d,total_opt_vol,sum_oi,unique_strikes,med_rel_spread,ivxvol_sum,nearest_expiry,unique_strikes_near,opt_vol_near,oi_near,med_rel_spread_near,low_adtv_flag,low_adtv_cut,atm_iv_pct,_grp,mean_atm_iv,std_atm_iv,mean_optvol_near,atm_iv_z,vol_ratio,suspicious_flag
ADBE,3613470,52109,42304,33,0.172322375397667,64156.16,2025-10-17,32,45596,36558,0.2727272727272727,True,14334680.00000001,40.65000756835938,ai,79.03060400604784,32.27975642585164,66691.78947368421,-1.1889989481751755,0.6836823597002393,False
AFRM,5496540,70633,75216,38,0.2222222222222222,73888.25,2025-10-17,34,42098,66611,0.25641025641025633,True,14334680.00000001,95.70316796875,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.5165021613778266,0.6312321251570461,False
AI,9637550,88991,176053,16,0.24285714285714294,99256.05,2025-10-17,13,50574,142657,0.28571428571428575,True,14334680.00000001,90.62509374999999,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.3591876466163965,0.7583242315001294,False
ALB,3484760,4565,19020,16,0.33962264150943394,5411.42,2025-10-17,13,1827,13338,0.4598201334493762,True,14334680.00000001,98.73074023437502,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.0053613919214928,0.21813852874661122,False
AMAT,8698990,20758,34061,20,0.25531914893617036,13851.199999999999,2025-10-17,16,16885,29586,0.48979591836734687,True,14334680.00000001,57.141541870117194,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.8370432592943816,0.5136540865803757,False
APP,6587170,35751,52870,78,0.24499999999999994,30853.86,2025-10-17,63,26166,45264,0.29473684210526324,True,14334680.00000001,66.22348229980469,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.39675397599922446,0.392342148958603,False
ARM,7519760,58611,140064,39,0.24440298507462682,54554.090000000004,2025-10-17,35,40506,101027,0.3054357204486626,True,14334680.00000001,80.32246240234375,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.18952170137504398,1.2322222345883742,False
ATI,1150960,1611,3042,7,0.24390243902439016,13470.44,2025-10-17,6,1467,2986,0.22619047619047628,True,14334680.00000001,72.26590234375,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.6426365889963657,0.1751555674172297,False
AU,2966990,4227,10448,10,0.16263736263736256,6180.1,2025-10-17,7,1606,5430,0.5515372395103261,True,14334680.00000001,87.35364208984376,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.27932273232950305,0.1917517663749631,False
AXON,522690,10383,3266,12,0.07709139097338857,16119.96,2025-10-17,12,10083,2962,0.07199100112485929,True,14334680.00000001,76.23314782714843,defense,82.68200137695312,35.88429860686697,10215.52,-0.17971240347918116,0.9870275815621721,False
BA,7667980,46500,160312,26,0.206085118117474,26164.32,2025-10-17,24,33447,126593,0.28571428571428575,True,14334680.00000001,39.79552392578125,defense,82.68200137695312,35.88429860686697,10215.52,-1.195132108363543,3.2741358247059376,False
CAMT,560160,1242,3781,4,0.1183431952662721,1213.4,2025-11-21,4,1242,3781,0.1183431952662721,True,14334680.00000001,67.24886267089845,chips,87.10723650750882,35.79945756047588,32872.31707317073,-0.5547115847513526,0.03778255111239719,False
CCJ,5226680,12044,52318,18,0.32044198895027626,12368.55,2025-10-17,15,8212,31262,0.44723183391003474,True,14334680.00000001,78.46701220703125,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.27618213289009064,0.8688581880672911,False
CEG,2907770,3914,6900,17,0.6807017543859649,3672.79,2025-10-17,16,2561,5865,0.7894736842105263,True,14334680.00000001,71.31376342773439,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.3930006723134577,0.2709627154944389,False
COHR,3225350,5877,7362,16,0.5688073394495413,6406.67,2025-10-17,13,2059,6717,0.6060606060606061,True,14334680.00000001,118.75040625,chips,87.10723650750882,35.79945756047588,32872.31707317073,0.8839008157885214,0.06263629045122852,False
CRWD,2518040,17338,39425,40,0.18181818181818185,10304.78,2025-10-17,35,12867,34710,0.22868973676427093,True,14334680.00000001,52.85691674804689,ai,79.03060400604784,32.27975642585164,66691.78947368421,-0.8108390569217377,0.19293229498778355,False
DDOG,4207570,12585,42389,20,0.6751592356687898,14504.98,2025-10-17,17,10674,41034,0.6747889201599764,True,14334680.00000001,91.16219775390624,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.37582668183154777,0.16004968653917787,False
DOCN,3379560,8577,21851,7,0.19718309859154923,10986.33,2025-10-17,6,4134,8947,0.22222222222222215,True,14334680.00000001,123.24257128906248,ai,79.03060400604784,32.27975642585164,66691.78947368421,1.3696499657477883,0.061986640823773774,False
EGO,2564930,3942,9118,5,0.16216216216216217,5085.83,2025-10-17,4,1618,1702,0.16666666666666669,True,14334680.00000001,69.14093359374999,mining,98.95338873650046,41.52811534498759,8375.411764705883,-0.7178860609273665,0.19318453175260916,False
EIX,3723170,1006,12059,5,0.5610561056105611,1204.8,2025-10-17,5,1006,12059,0.5610561056105611,True,14334680.00000001,81.7384638671875,nuclear,95.37870717181582,61.23384879323365,9451.484848484848,-0.22275658926302153,0.10643830214268081,False
FFIV,636530,4816,2063,11,0.3258014404745092,4581.89,2025-10-17,8,2439,1835,0.6825910931174088,True,14334680.00000001,85.46157116699217,ai,79.03060400604784,32.27975642585164,66691.78947368421,0.19922601261619236,0.03657121842505666,False
