QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,call_mid,put_mid,T,parity_residual,iv_gap,moneyness,side,score,label
1512680400, 2017-12-07 16:00,2017-12-07,16.0,169.32, 2018-01-19,1516395600,43.0, 0.104780, 0.015680, 0.107020, -0.024120, 0.020350,0.19838, 795.000000, 0.570000, 73 x 1,0.56,0.58,185.0,15.7,16.06, 245 x 108, 15.750000, -0.925670, 0.008860, 0.079760, -0.014180, -0.105560,0.16127, 4.000000,15.7,0.093,0.5700000000000001,15.879999999999999,0.1178082191780822,-0.30037456054693834,0.037110000000000004,1.0926057169855894,K>S,0.33179188654693836,None
1512680400, 2017-12-07 16:00,2017-12-07,16.0,169.32, 2018-01-05,1515186000,29.0, 0.058390, 0.012370, 0.056560, -0.018220, 0.007470,0.19312, 4.000000, 0.250000, 118 x 110,0.21,0.25,185.0,15.45,15.99, 3 x 21, 0.000000, -0.940160, 0.002960, 0.053280, -0.015570, -0.047890,0.1698, ,15.7,0.093,0.22999999999999998,15.719999999999999,0.07945205479452055,-0.2625371347160872,0.023320000000000007,1.0926057169855894,K>S,0.2822798467160872,None
1512680400, 2017-12-07 16:00,2017-12-07,16.0,169.32, 2018-01-19,1516395600,43.0, 0.191300, 0.023910, 0.160340, -0.035030, 0.037400,0.19397, , 1.160000, 35 x 56,1.15,1.19,180.0,11.24,11.55, 446 x 114, 11.780000, -0.847590, 0.022930, 0.138660, -0.025980, -0.144480,0.16547, 0.000000,10.7,0.063,1.17,11.395,0.1178082191780822,-0.1918683447181646,0.028499999999999998,1.0630758327427356,K>S,0.2159964447181646,None
1512680400, 2017-12-07 16:00,2017-12-07,16.0,169.32, 2018-01-12,1515790800,36.0, 0.166020, 0.024110, 0.134380, -0.034930, 0.027260,0.19229, 545.000000, 0.900000, 132 x 166,0.84,0.93,180.0,10.99,11.44, 61 x 6, 0.000000, -0.867720, 0.022110, 0.114790, -0.025020, -0.118880,0.16566, ,10.7,0.063,0.885,11.215,0.09863013698630137,-0.19181978991291437,0.026629999999999987,1.0630758327427356,K>S,0.21436474791291435,None
1512680400, 2017-12-07 16:00,2017-12-07,16.0,169.32, 2018-01-19,1516395600,43.0, 0.325670, 0.031280, 0.212250, -0.047510, 0.063690,0.19614, , 2.350000, 101 x 38,2.35,2.39,175.0,7.54,7.64, 26 x 40, 7.550000, -0.695430, 0.033860, 0.205950, -0.041000, -0.137230,0.1746, 445.000000,5.7,0.034,2.37,7.59,0.1178082191780822,-0.16336212888939006,0.021540000000000004,1.033545948499882,K>S,0.18159789288939007,None
1512680400, 2017-12-07 16:00,2017-12-07,16.0,169.32, 2018-01-19,1516395600,43.0, 0.490970, 0.033650, 0.234470, -0.054390, 0.094390,0.20136, , 4.400000, 217 x 50,4.35,4.45,170.0,4.6,4.69, 60 x 44, 4.650000, -0.512390, 0.036920, 0.233840, -0.048860, -0.105990,0.18272, ,0.7,0.004,4.4,4.645,0.1178082191780822,-0.16485591306061487,0.018640000000000018,1.0040160642570282,K>S,0.1806365370606149,None
1512680400, 2017-12-07 16:00,2017-12-07,16.0,169.32, 2018-01-05,1515186000,29.0, 0.090050, 0.017490, 0.078510, -0.024740, 0.012200,0.19143, 9.000000, 0.420000, 21 x 128,0.35,0.4,182.5,12.9,13.6, 2 x 10, 0.000000, -0.938960, 0.005820, 0.054980, -0.013310, -0.055070,0.14899, ,13.2,0.078,0.375,13.25,0.07945205479452055,-0.13960454113058063,0.04243999999999998,1.0778407748641625,K>S,0.1755342451305806,None
1512680400, 2017-12-07 16:00,2017-12-07,16.0,169.32, 2018-01-12,1515790800,36.0, 0.228140, 0.029310, 0.162770, -0.042530, 0.037520,0.19164, 275.000000, 1.440000, 41 x 219,1.28,1.37,177.5,8.95,9.29, 4 x 219, 9.120000, -0.802850, 0.029980, 0.149670, -0.033680, -0.122750,0.16752, 0.000000,8.2,0.048,1.3250000000000002,9.12,0.09863013698630137,-0.146976206461642,0.024120000000000003,1.0483108906213088,K>S,0.167396198461642,None
1512680400, 2017-12-07 16:00,2017-12-07,16.0,169.32, 2018-01-12,1515790800,36.0, 0.119220, 0.018950, 0.107220, -0.028420, 0.020080,0.19382, 55.000000, 0.640000, 1 x 136,0.55,0.64,182.5,13.05,13.64, 6 x 47, 0.000000, -0.926590, 0.010760, 0.072480, -0.014910, -0.089290,0.14965, ,13.2,0.078,0.595,13.345,0.09863013698630137,-0.12166337336421407,0.04416999999999999,1.0778407748641625,K>S,0.15905769536421405,None
1512680400, 2017-12-07 16:00,2017-12-07,16.0,169.32, 2018-01-05,1515186000,29.0, 0.132690, 0.023610, 0.104380, -0.032450, 0.017720,0.18747, 187.000000, 0.580000, 79 x 189,0.55,0.63,180.0,10.75,11.16, 58 x 10, 0.000000, -0.906670, 0.018290, 0.079530, -0.020670, -0.085990,0.15387, ,10.7,0.063,0.5900000000000001,10.955,0.07945205479452055,-0.12167194754504429,0.03359999999999999,1.0630758327427356,K>S,0.15011770754504428,None
