QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,call_mid,put_mid,T,parity_residual,iv_gap,moneyness,side,score,label
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.062640, 0.016330, 0.048180, -0.010230, 0.008840,0.1921, 0.000000, 0.160000, 872 x 5,0.18,0.21,122.0,12.5,12.8, 209 x 412, 0.000000, -0.923860, 0.010840, 0.054050, -0.011290, -0.071880,0.19089, ,12.5,0.114,0.195,12.65,0.12602739726027398,-0.4305530510756075,0.0012099999999999889,1.1141552511415524,K>S,0.4312155260756075,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.111040, 0.026090, 0.074810, -0.015020, 0.014890,0.18519, 3.000000, 0.370000, 853 x 630,0.35,0.39,119.0,9.71,9.95, 749 x 1746, 0.000000, -0.889190, 0.022900, 0.072990, -0.014290, -0.092180,0.18013, ,9.5,0.087,0.37,9.83,0.12602739726027398,-0.4204678184028907,0.005059999999999981,1.08675799086758,K>S,0.4232381684028907,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.075780, 0.019080, 0.056170, -0.011660, 0.009910,0.18941, 32.000000, 0.250000, 1379 x 568,0.23,0.27,121.0,11.54,11.85, 208 x 476, 0.000000, -0.914940, 0.014500, 0.058980, -0.011950, -0.079860,0.18688, ,11.5,0.105,0.25,11.695,0.12602739726027398,-0.4155246401847066,0.0025300000000000045,1.1050228310502284,K>S,0.4169098151847066,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-16,1474056000,32.0, 0.012150, 0.003920, 0.010580, -0.003990, 0.001020,0.25056, 782.000000, 0.040000, 701 x 277,0.04,0.04,130.0,20.4,20.71, 90 x 142, 0.000000, -0.925660, 0.001760, 0.041930, -0.020240, -0.036340,0.32421, ,20.5,0.187,0.04,20.555,0.08767123287671233,-0.3741340449718251,-0.07365,1.187214611872146,K>S,0.4144574199718251,S1_bear
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.091660, 0.022390, 0.065000, -0.012930, 0.012940,0.1875, 12.000000, 0.300000, 727 x 446,0.29,0.32,120.0,10.6,10.9, 191 x 413, 0.000000, -0.904700, 0.018310, 0.064470, -0.012290, -0.086250,0.18271, ,10.5,0.096,0.305,10.75,0.12602739726027398,-0.41049622929380547,0.004789999999999989,1.095890410958904,K>S,0.41311875429380546,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.134770, 0.030110, 0.085490, -0.016630, 0.018630,0.18271, 18.000000, 0.450000, 519 x 337,0.46,0.49,118.0,8.8,9.0, 388 x 1672, 0.000000, -0.871380, 0.027530, 0.081620, -0.015260, -0.096990,0.17553, ,8.5,0.078,0.475,8.9,0.12602739726027398,-0.38043940751198946,0.00718000000000002,1.0776255707762556,K>S,0.38437045751198945,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.162280, 0.034470, 0.096510, -0.018710, 0.022440,0.18125, 0.000000, 0.440000, 380 x 331,0.59,0.6,117.0,7.89,8.15, 1199 x 1920, 8.000000, -0.843690, 0.032890, 0.094310, -0.016950, -0.100110,0.17465, 1.000000,7.5,0.068,0.595,8.02,0.12602739726027398,-0.37541099662107325,0.006599999999999995,1.0684931506849316,K>S,0.37902449662107324,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-23,1474660800,39.0, 0.142980, 0.034150, 0.082050, -0.018310, 0.016820,0.18212, 22.000000, 0.470000, 1243 x 3,0.45,0.47,117.0,7.85,8.06, 181 x 1750, 0.000000, -0.855690, 0.032360, 0.082350, -0.018480, -0.084190,0.18105, ,7.5,0.068,0.45999999999999996,7.955,0.10684931506849316,-0.3770501896456109,0.0010700000000000154,1.0684931506849316,K>S,0.37763601464561086,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.233480, 0.043440, 0.120430, -0.023350, 0.031230,0.18, 191.000000, 0.920000, 902 x 304,0.9,0.94,115.0,6.26,6.44, 1192 x 1757, 6.350000, -0.774140, 0.043350, 0.117650, -0.021650, -0.100090,0.17314, 33.000000,5.5,0.05,0.9199999999999999,6.35,0.12602739726027398,-0.3703541748392567,0.006860000000000005,1.0502283105022832,K>S,0.3741100248392567,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.195490, 0.038920, 0.108520, -0.021000, 0.026970,0.1801, 6.000000, 0.710000, 394 x 262,0.72,0.75,116.0,7.04,7.26, 654 x 1630, 0.000000, -0.814760, 0.038230, 0.104590, -0.018740, -0.101030,0.1716, ,6.5,0.059,0.735,7.15,0.12602739726027398,-0.36038258573017234,0.008500000000000008,1.0593607305936072,K>S,0.36503633573017236,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.324650, 0.050970, 0.141170, -0.026660, 0.044030,0.17955, 30.000000, 1.450000, 427 x 378,1.43,1.47,113.0,4.8,4.96, 22 x 2148, 0.000000, -0.680420, 0.051700, 0.140420, -0.026050, -0.093270,0.1749, ,3.5,0.032,1.45,4.88,0.12602739726027398,-0.3602973530574545,0.0046499999999999875,1.0319634703196348,K>S,0.36284322805745445,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-16,1474056000,32.0, 0.024090, 0.007910, 0.018660, -0.005940, 0.002780,0.21997, 70.000000, 0.080000, 784 x 18,0.07,0.07,125.0,15.45,15.69, 67 x 225, 0.000000, -0.929800, 0.004430, 0.040700, -0.015420, -0.039670,0.25452, ,15.5,0.142,0.07,15.57,0.08767123287671233,-0.34163050746893475,-0.034550000000000025,1.1415525114155252,K>S,0.36054663246893476,S1_bear
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-09,1473451200,25.0, 0.106800, 0.036880, 0.053300, -0.017280, 0.008520,0.17057, 38.000000, 0.260000, 571 x 5,0.24,0.26,116.0,6.65,7.06, 142 x 1850, 6.860000, -0.864010, 0.036600, 0.063100, -0.023340, -0.054380,0.18917, 2.000000,6.5,0.059,0.25,6.855,0.0684931506849315,-0.34739894183269016,-0.018600000000000005,1.0593607305936072,K>S,0.35758244183269017,S1_bear
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-23,1474660800,39.0, 0.078780, 0.021190, 0.053440, -0.012510, 0.008750,0.19125, 57.000000, 0.240000, 1311 x 1540,0.23,0.26,120.0,10.55,10.85, 222 x 637, 0.000000, -0.912910, 0.016590, 0.055230, -0.012690, -0.069350,0.1883, ,10.5,0.096,0.245,10.7,0.10684931506849316,-0.3498447461854415,0.002950000000000008,1.095890410958904,K>S,0.3514598711854415,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.276750, 0.047470, 0.131830, -0.024990, 0.037560,0.17949, 121.000000, 1.160000, 959 x 505,1.15,1.2,114.0,5.51,5.65, 494 x 1786, 5.700000, -0.730630, 0.048090, 0.129680, -0.024310, -0.097740,0.17248, 10.000000,4.5,0.041,1.1749999999999998,5.58,0.12602739726027398,-0.3403257639483561,0.007010000000000016,1.0410958904109588,K>S,0.3441637389483561,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-23,1474660800,39.0, 0.096240, 0.025020, 0.062000, -0.014540, 0.011450,0.18849, 63.000000, 0.290000, 1263 x 1376,0.28,0.32,119.0,9.59,9.9, 356 x 723, 0.000000, -0.902320, 0.020910, 0.061780, -0.013650, -0.074480,0.18286, ,9.5,0.087,0.30000000000000004,9.745000000000001,0.10684931506849316,-0.33557989400549815,0.005629999999999996,1.08675799086758,K>S,0.33866231900549815,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-23,1474660800,39.0, 0.116810, 0.029350, 0.070910, -0.016460, 0.013370,0.18488, 22.000000, 0.360000, 1005 x 53,0.36,0.4,118.0,8.7,8.95, 1251 x 1767, 10.150000, -0.884180, 0.026280, 0.070030, -0.015730, -0.080410,0.17978, 0.000000,8.5,0.078,0.38,8.825,0.10684931506849316,-0.3313150418255528,0.005099999999999993,1.0776255707762556,K>S,0.3341072918255528,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.485150, 0.055470, 0.157040, -0.030740, 0.065170,0.1828, 332.000000, 2.610000, 93 x 534,2.6,2.67,110.0,2.99,3.11, 30 x 1951, 3.070000, -0.515180, 0.057060, 0.156110, -0.030050, -0.073360,0.1772, 405.000000,0.5,0.005,2.635,3.05,0.12602739726027398,-0.33021212038472303,0.005599999999999994,1.004566210045662,K>S,0.33327812038472304,None
1471291200, 2016-08-15 16:00,2016-08-15,16.0,109.5, 2016-09-30,1475265600,46.0, 0.594850, 0.053150, 0.152710, -0.030310, 0.079020,0.18518, 29.000000, 3.590000, 2177 x 464,3.65,3.74,108.0,2.1,2.12, 22 x 21, 2.190000, -0.402650, 0.054900, 0.152390, -0.029320, -0.058320,0.17963, 67.000000,1.5,0.014,3.6950000000000003,2.1100000000000003,0.12602739726027398,-0.3201552986029066,0.005549999999999999,0.9863013698630136,K<S,0.3231939236029066,None
