QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,call_mid,put_mid,T,parity_residual,iv_gap,moneyness,side,score,label
1527710400, 2018-05-30 16:00,2018-05-30,16.0,187.5, 2018-07-20,1532116800,51.0, 0.089720, 0.013380, 0.114480, -0.018440, 0.023310,0.17197, 211.000000, 0.500000, 34 x 67,0.48,0.5,205.0,17.5,17.65, 52 x 19, 17.050000, -0.938450, 0.003660, 0.079980, -0.010200, -0.099820,0.13347, 0.000000,17.5,0.093,0.49,17.575,0.13972602739726028,-0.46575419483789204,0.038500000000000006,1.0933333333333333,K>S,0.5018479448378921,None
1527710400, 2018-05-30 16:00,2018-05-30,16.0,187.5, 2018-07-20,1532116800,51.0, 0.168530, 0.020650, 0.178620, -0.029510, 0.043100,0.17285, , 1.060000, 5 x 67,1.05,1.09,200.0,12.95,13.1, 108 x 87, 13.150000, -0.880040, 0.018180, 0.140350, -0.019140, -0.180210,0.13926, 20.000000,12.5,0.067,1.07,13.024999999999999,0.13972602739726028,-0.3078869375232358,0.03359000000000001,1.0666666666666667,K>S,0.3393775625232358,None
1527710400, 2018-05-30 16:00,2018-05-30,16.0,187.5, 2018-06-22,1529697600,23.0, 0.046010, 0.011490, 0.046540, -0.016840, 0.005350,0.17602, 53.000000, 0.180000, 248 x 38,0.14,0.17,202.5,14.9,15.16, 10 x 15, 15.200000, -0.942540, 0.001880, 0.050790, -0.017290, -0.037890,0.16066, 70.000000,15.0,0.08,0.15500000000000003,15.030000000000001,0.06301369863013699,-0.26665477417970074,0.015360000000000013,1.08,K>S,0.28105477417970076,None
1527710400, 2018-05-30 16:00,2018-05-30,16.0,187.5, 2018-07-06,1530907200,37.0, 0.120690, 0.019930, 0.121090, -0.026460, 0.022400,0.16648, 47.000000, 0.570000, 5 x 52,0.56,0.6,200.0,12.45,12.95, 31 x 83, 12.810000, -0.923240, 0.012770, 0.085230, -0.014280, -0.107850,0.13118, 1.000000,12.5,0.067,0.5800000000000001,12.7,0.10136986301369863,-0.2393447986006496,0.0353,1.0666666666666667,K>S,0.2724385486006496,None
1527710400, 2018-05-30 16:00,2018-05-30,16.0,187.5, 2018-07-06,1530907200,37.0, 0.174300, 0.025440, 0.155950, -0.034390, 0.033290,0.16748, 21.000000, 0.870000, 10 x 11,0.9,0.95,197.5,10.46,10.6, 13 x 46, 11.000000, -0.866930, 0.023570, 0.129390, -0.023520, -0.134790,0.14018, 11.000000,10.0,0.053,0.925,10.530000000000001,0.10136986301369863,-0.2142283362480093,0.02729999999999999,1.0533333333333332,K>S,0.2398220862480093,None
1527710400, 2018-05-30 16:00,2018-05-30,16.0,187.5, 2018-06-29,1530302400,30.0, 0.102860, 0.019110, 0.097630, -0.026660, 0.016260,0.17194, 241.000000, 0.410000, 21 x 68,0.43,0.47,200.0,12.45,12.85, 31 x 46, 0.000000, -0.929830, 0.010950, 0.071370, -0.015840, -0.081160,0.13923, ,12.5,0.067,0.44999999999999996,12.649999999999999,0.0821917808219178,-0.20240827823179686,0.03271000000000002,1.0666666666666667,K>S,0.2330739032317969,None
1527710400, 2018-05-30 16:00,2018-05-30,16.0,187.5, 2018-07-20,1532116800,51.0, 0.288710, 0.027460, 0.241940, -0.040620, 0.073940,0.17557, , 2.160000, 10 x 64,2.15,2.2,195.0,9.0,9.1, 76 x 33, 9.150000, -0.746290, 0.029840, 0.226550, -0.032730, -0.186520,0.14924, 237.000000,7.5,0.04,2.175,9.05,0.13972602739726028,-0.20001968020861316,0.026329999999999992,1.04,K>S,0.22470405520861314,None
1527710400, 2018-05-30 16:00,2018-05-30,16.0,187.5, 2018-06-22,1529697600,23.0, 0.075170, 0.017130, 0.068070, -0.023940, 0.009270,0.17283, 159.000000, 0.250000, 41 x 249,0.25,0.29,200.0,12.35,12.8, 47 x 36, 0.000000, -0.939530, 0.006830, 0.054130, -0.015900, -0.050720,0.14446, ,12.5,0.067,0.27,12.575,0.06301369863013699,-0.19036133910105235,0.028370000000000006,1.0666666666666667,K>S,0.21695821410105237,None
1527710400, 2018-05-30 16:00,2018-05-30,16.0,187.5, 2018-07-06,1530907200,37.0, 0.243850, 0.030740, 0.189500, -0.042130, 0.046040,0.16809, 169.000000, 1.440000, 21 x 98,1.4,1.46,195.0,8.45,8.6, 14 x 82, 8.720000, -0.788330, 0.032000, 0.174580, -0.033870, -0.138880,0.14695, 2.000000,7.5,0.04,1.43,8.524999999999999,0.10136986301369863,-0.19411187389539464,0.021139999999999992,1.04,K>S,0.21393062389539463,None
1527710400, 2018-05-30 16:00,2018-05-30,16.0,187.5, 2018-06-29,1530302400,30.0, 0.154690, 0.025490, 0.129640, -0.036140, 0.024210,0.1713, 22.000000, 0.700000, 11 x 69,0.73,0.77,197.5,10.34,10.49, 14 x 50, 10.350000, -0.880620, 0.022660, 0.108600, -0.025170, -0.107810,0.14591, 1.000000,10.0,0.053,0.75,10.415,0.0821917808219178,-0.15920259633288225,0.025389999999999996,1.0533333333333332,K>S,0.18300572133288226,None
