QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,call_mid,put_mid,T,parity_residual,iv_gap,moneyness,side,score,label
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-25,1669410000,44.04, 0.646400, 0.006810, 0.282780, -0.241640, 0.137720,0.72113, 1.000000, 25.950000, 166 x 924,26.95,30.0,205.0,14.2,15.0, 241 x 168, 15.000000, -0.352470, 0.007010, 0.282880, -0.212430, -0.105310,0.70012, 79.000000,12.2,0.056,28.475,14.6,0.12065753424657534,0.9099502936155677,0.021010000000000084,0.9436567851224452,K<S,0.9327713556155678,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-25,1669410000,44.04, 0.573090, 0.007480, 0.298290, -0.242600, 0.124820,0.68796, 26.000000, 22.350000, 72 x 618,21.5,23.25,215.0,18.25,18.9, 156 x 15, 19.250000, -0.429060, 0.007790, 0.298310, -0.212970, -0.125800,0.67201, 130.000000,2.2,0.01,22.375,18.575,0.12065753424657534,0.7868035587008144,0.01595000000000002,0.9896888234211011,K<S,0.8041284487008145,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-25,1669410000,44.04, 0.681270, 0.006450, 0.271300, -0.234680, 0.142920,0.72699, 0.000000, 32.950000, 431 x 713,30.0,32.9,200.0,12.5,13.15, 111 x 198, 12.800000, -0.317480, 0.006620, 0.270910, -0.208240, -0.094680,0.71356, 60.000000,17.2,0.079,31.45,12.825,0.12065753424657534,0.6840236610729562,0.013430000000000053,0.9206407659731173,K<S,0.6986113270729563,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-25,1669410000,44.04, 0.610670, 0.007250, 0.291090, -0.240130, 0.131960,0.69537, 0.000000, 28.300000, 46 x 458,24.2,25.95,210.0,16.1,17.0, 42 x 24, 17.580000, -0.389420, 0.007360, 0.291340, -0.214270, -0.115450,0.68753, 24.000000,7.2,0.033,25.075,16.55,0.12065753424657534,0.5358769261582026,0.00784000000000007,0.9666728042717732,K<S,0.5443927341582027,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-25,1669410000,44.04, 0.371570, 0.007980, 0.287250, -0.207760, 0.085620,0.62025, 184.000000, 10.700000, 96 x 89,10.5,11.05,240.0,31.0,33.3, 100 x 98, 34.090000, -0.634200, 0.008180, 0.285580, -0.179290, -0.171030,0.61138, 3.000000,22.8,0.105,10.775,32.15,0.12065753424657534,0.4914367214138906,0.008869999999999933,1.1047689191677408,K>S,0.5010713154138905,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-11,1668200400,30.04, 0.692620, 0.007330, 0.221550, -0.289170, 0.103060,0.758, 2.000000, 29.390000, 318 x 425,27.65,29.55,200.0,10.35,10.6, 889 x 17, 10.750000, -0.307060, 0.007440, 0.222040, -0.263330, -0.062640,0.7501, 573.000000,17.2,0.079,28.6,10.475,0.0823013698630137,0.40638955742775806,0.007900000000000018,0.9206407659731173,K<S,0.4149705374277581,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-11,1668200400,30.04, 0.339200, 0.008890, 0.230680, -0.252810, 0.055390,0.65073, 134.000000, 8.450000, 530 x 83,8.25,8.5,240.0,29.6,30.7, 216 x 46, 30.300000, -0.666800, 0.009120, 0.229110, -0.223090, -0.121110,0.64206, 5.000000,22.8,0.105,8.375,30.15,0.0823013698630137,0.3749238804842676,0.008670000000000067,1.1047689191677408,K>S,0.3843412344842677,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-25,1669410000,44.04, 0.335380, 0.007740, 0.277320, -0.199820, 0.078390,0.61766, 13.000000, 9.550000, 259 x 476,8.85,9.8,245.0,34.25,37.35, 499 x 88, 36.300000, -0.670190, 0.007930, 0.274380, -0.171810, -0.176380,0.61279, 3.000000,27.8,0.128,9.325,35.8,0.12065753424657534,0.36736335395653086,0.004870000000000041,1.1277849383170686,K>S,0.37265314795653093,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-25,1669410000,44.04, 0.452090, 0.008140, 0.301340, -0.225940, 0.102490,0.63987, 30.000000, 14.650000, 80 x 110,14.3,15.0,230.0,25.85,26.65, 105 x 65, 26.900000, -0.550270, 0.008220, 0.300640, -0.200690, -0.155520,0.63934, 4.000000,12.8,0.059,14.65,26.25,0.12065753424657534,0.3145834563286716,0.0005300000000000304,1.058736880869085,K>S,0.3151591423286716,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-25,1669410000,44.04, 0.533890, 0.007840, 0.302290, -0.236590, 0.117890,0.66238, 42.000000, 19.350000, 145 x 28,18.8,19.85,220.0,20.65,21.35, 130 x 29, 21.000000, -0.468470, 0.007950, 0.302380, -0.211670, -0.135910,0.66285, 15.000000,2.8,0.013,19.325000000000003,21.0,0.12065753424657534,0.28773019124342625,-0.00047000000000008146,1.012704842570429,K>S,0.2882407052434263,None
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-18,1668805200,37.04, 0.710410, 0.006530, 0.239350, -0.251220, 0.126090,0.74392, 9.000000, 29.550000, 70 x 464,31.9,32.5,196.67,10.7,10.85, 40 x 1266, 10.700000, -0.290450, 0.006640, 0.239660, -0.228750, -0.073310,0.74428, 126.000000,20.6,0.095,32.2,10.774999999999999,0.10147945205479451,0.27864165681514663,-0.00036000000000002697,0.9053120972196648,K<S,0.27903268881514665,None
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-25,1669410000,44.04, 0.412790, 0.008070, 0.296450, -0.220100, 0.094600,0.6351, 82.000000, 13.170000, 92 x 400,12.3,13.2,235.0,28.65,30.1, 87 x 125, 30.200000, -0.589990, 0.008160, 0.294780, -0.194540, -0.163990,0.63448, 0.000000,17.8,0.082,12.75,29.375,0.12065753424657534,0.2655100888712809,0.0006199999999999539,1.0817529000184127,K>S,0.2661835328712809,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-11,1668200400,30.04, 0.222250, 0.007490, 0.188050, -0.197750, 0.037220,0.63119, 66.000000, 4.650000, 37 x 128,4.6,4.75,255.0,41.1,42.9, 1 x 128, 36.270000, -0.772010, 0.007300, 0.188680, -0.181940, -0.127180,0.64993, 0.000000,37.8,0.174,4.675,42.0,0.0823013698630137,-0.2243757483695532,-0.01873999999999998,1.1738169766157245,K>S,0.24473113636955318,S1_bear
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-18,1668805200,37.04, 0.637220, 0.007470, 0.261920, -0.263890, 0.117000,0.71762, 2.000000, 25.020000, 100 x 261,25.45,25.95,206.67,14.2,14.35, 81 x 692, 14.300000, -0.363770, 0.007530, 0.261980, -0.240900, -0.090690,0.71897, 80.000000,10.6,0.049,25.7,14.274999999999999,0.10147945205479451,0.23813214926848403,-0.0013499999999999623,0.9513441355183206,K<S,0.239598519268484,None
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-18,1668805200,37.04, 0.662190, 0.007220, 0.255700, -0.259620, 0.120450,0.72505, 10.000000, 26.500000, 28 x 349,27.55,27.95,203.33,12.9,13.1, 580 x 1120, 13.200000, -0.338560, 0.007190, 0.255220, -0.237880, -0.084590,0.72609, 40.000000,13.9,0.064,27.75,13.0,0.10147945205479451,0.23666232478908,-0.001040000000000041,0.9359694347265697,K<S,0.23779197278908004,None
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-04,1667592000,23.0, 0.659900, 0.008780, 0.202560, -0.339970, 0.078420,0.7548, 5.000000, 23.600000, 28 x 31,23.1,23.6,205.0,10.45,10.6, 99 x 4, 10.400000, -0.340470, 0.008840, 0.202790, -0.315540, -0.053080,0.75347, 198.000000,12.2,0.056,23.35,10.524999999999999,0.06301369863013699,0.20578616148434037,0.0013300000000000534,0.9436567851224452,K<S,0.20723080748434042,S1_bull
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-18,1668805200,37.04, 0.611350, 0.007730, 0.267660, -0.265130, 0.112960,0.70717, 12.000000, 23.800000, 139 x 510,23.45,23.85,210.0,15.5,15.65, 142 x 18, 15.550000, -0.389850, 0.007790, 0.268170, -0.242230, -0.096590,0.70918, 883.000000,7.2,0.033,23.65,15.575,0.10147945205479451,0.20464248325545142,-0.0020100000000000673,0.9666728042717732,K<S,0.2068257452554515,None
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-18,1668805200,37.04, 0.650170, 0.007400, 0.259240, -0.261560, 0.117980,0.71946, 13.000000, 27.150000, 28 x 357,26.5,26.85,205.0,13.55,13.7, 235 x 765, 13.500000, -0.351090, 0.007390, 0.258700, -0.239470, -0.087950,0.72219, 981.000000,12.2,0.056,26.675,13.625,0.10147945205479451,0.19989723702876816,-0.00273000000000001,0.9436567851224452,K<S,0.20286256302876818,None
1665604800, 2022-10-12 16:00,2022-10-12,16.0,217.24, 2022-11-11,1668200400,30.04, 0.611950, 0.008390, 0.241980, -0.299150, 0.093510,0.72448, 4.000000, 22.950000, 33 x 18,21.85,22.4,210.0,14.05,14.3, 280 x 440, 14.100000, -0.389600, 0.008450, 0.241630, -0.276850, -0.078750,0.72536, 39.000000,7.2,0.033,22.125,14.175,0.0823013698630137,0.19852313819187017,-0.0008799999999999919,0.9666728042717732,K<S,0.19947899419187018,None
