label,side,n,hit,mean_ret,median_ret,p75,p25
None,K<S,38583,0.5509162066194956,0.004477908349388375,0.003070674289895974,0.024052926729070657,-0.017307186421337502
S1_bear,K<S,16125,0.5252713178294574,0.0041277435557501895,0.0017703140411263274,0.027435877533706684,-0.02073806533256325
None,K>S,60609,0.536652972330842,0.00268610206746229,0.0024238672272683683,0.02302159754165347,-0.019348255020757845
S1_bear,K>S,29740,0.5245460659045057,0.002595764754696257,0.0016625488317687238,0.025435169687600304,-0.02227676569722585
S1_bull,K<S,3604,0.5110987791342952,-0.008144653336370397,0.0012669741182241275,0.01885611045200119,-0.030049447965418377
S1_bull,K>S,4840,0.48140495867768596,-0.011276723329340523,-0.000549463447653546,0.015913383222044553,-0.03214333112368562
