QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,call_mid,put_mid,T,parity_residual,iv_gap,moneyness,side,score,label
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.237130, 0.002560, 0.722130, -0.323050, 0.196460,0.51881, 8.000000, 14.960000, 5 x 27,14.94,15.65,695.0,122.7,123.8, 10 x 3, 121.900000, -0.757850, 0.002370, 0.720490, -0.322140, -0.700590,0.51772, 2.000000,108.3,0.185,15.295,123.25,0.15616438356164383,-3.067337296434701,0.0010900000000000354,1.1845917845576954,K>S,3.070534811434701,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.248600, 0.002560, 0.740890, -0.332990, 0.206060,0.51966, 44.000000, 16.150000, 1 x 13,16.1,16.5,690.0,118.79,119.75, 1 x 3, 119.950000, -0.746420, 0.002450, 0.739570, -0.331230, -0.698610,0.51868, 7.000000,103.3,0.176,16.3,119.27000000000001,0.15616438356164383,-3.051201766181734,0.0009799999999999809,1.1760695415033235,K>S,3.054076596181734,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.227340, 0.002480, 0.704510, -0.315930, 0.188570,0.51991, 311.000000, 14.500000, 6 x 24,14.24,14.69,700.0,126.75,127.89, 7 x 3, 128.450000, -0.767570, 0.002320, 0.703230, -0.313720, -0.701670,0.517, 11.000000,113.3,0.193,14.465,127.32,0.15616438356164383,-2.998472826687788,0.002909999999999968,1.1931140276120673,K>S,3.007009311687788,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.283380, 0.002760, 0.792200, -0.356630, 0.233260,0.52122, 9.000000, 19.180000, 23 x 35,19.05,19.75,675.0,106.91,107.9, 8 x 3, 108.080000, -0.712670, 0.002690, 0.790040, -0.354050, -0.685400,0.5197, 11.000000,88.3,0.15,19.4,107.405,0.15616438356164383,-2.992795175422657,0.0015199999999999658,1.150502812340208,K>S,2.9972540954226568,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.259540, 0.002650, 0.758350, -0.340760, 0.214220,0.51984, 14.000000, 16.260000, 33 x 34,16.9,17.59,685.0,114.54,115.75, 14 x 3, 120.530000, -0.736240, 0.002590, 0.755200, -0.337610, -0.695470,0.51761, 15.000000,98.3,0.168,17.244999999999997,115.14500000000001,0.15616438356164383,-2.9500662359287446,0.0022299999999999542,1.1675472984489517,K>S,2.9566079409287447,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.271920, 0.002700, 0.775370, -0.348610, 0.224050,0.5206, 17.000000, 17.800000, 7 x 22,18.05,18.6,680.0,110.85,111.65, 1 x 6, 112.540000, -0.725400, 0.002570, 0.772950, -0.345700, -0.690830,0.51877, 81.000000,93.3,0.159,18.325000000000003,111.25,0.15616438356164383,-2.9439307056756405,0.0018299999999999983,1.1590250553945798,K>S,2.9492990106756407,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.309250, 0.002850, 0.823890, -0.372130, 0.253580,0.52193, 4.000000, 20.170000, 21 x 20,21.45,22.15,665.0,99.29,100.15, 2 x 6, 100.480000, -0.689480, 0.002800, 0.821270, -0.368380, -0.673060,0.51895, 45.000000,78.3,0.133,21.799999999999997,99.72,0.15616438356164383,-2.8455241149165857,0.0029799999999999827,1.1334583262314641,K>S,2.8542659449165857,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.322700, 0.002960, 0.839610, -0.379970, 0.263570,0.52363, 64.000000, 23.300000, 6 x 14,22.85,23.45,660.0,95.51,96.6, 21 x 4, 97.500000, -0.675610, 0.002870, 0.836130, -0.375490, -0.664730,0.52011, 5.000000,73.3,0.125,23.15,96.055,0.15616438356164383,-2.7993885846636033,0.0035200000000000786,1.124936083177092,K>S,2.8097145046636034,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.335730, 0.002970, 0.852550, -0.386870, 0.274440,0.52374, 1.000000, 21.770000, 35 x 18,24.11,24.8,655.0,91.9,92.75, 6 x 8, 93.250000, -0.663080, 0.002980, 0.849780, -0.381940, -0.656380,0.52057, 5.000000,68.3,0.116,24.455,92.325,0.15616438356164383,-2.733253054410625,0.003170000000000006,1.1164138401227202,K>S,2.742552249410625,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.454250, 0.003200, 0.926770, -0.429630, 0.362830,0.53502, 4.000000, 36.000000, 10 x 22,37.75,38.5,615.0,65.81,66.59, 7 x 5, 70.070000, -0.544960, 0.003130, 0.925310, -0.427310, -0.559680,0.53301, 20.000000,28.3,0.048,38.125,66.2,0.15616438356164383,-2.689168812386427,0.0020100000000000673,1.048235895687745,K>S,2.695065147386427,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.296610, 0.002870, 0.809280, -0.365240, 0.243770,0.52247, 21.000000, 20.900000, 8 x 25,20.4,20.95,670.0,102.94,103.85, 19 x 6, 111.170000, -0.702540, 0.002760, 0.804710, -0.359440, -0.680220,0.51755, 32.000000,83.3,0.142,20.674999999999997,103.395,0.15616438356164383,-2.6766596451696785,0.0049200000000000355,1.141980569285836,K>S,2.6910924651696786,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.378980, 0.003130, 0.889360, -0.406520, 0.307410,0.52795, 38.000000, 29.550000, 5 x 20,28.8,29.35,640.0,81.45,82.5, 6 x 14, 82.250000, -0.620060, 0.003020, 0.887490, -0.402960, -0.624160,0.52434, 4.000000,53.3,0.091,29.075000000000003,81.975,0.15616438356164383,-2.6698464636514387,0.003610000000000002,1.0908471109596045,K>S,2.680436398651439,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.439460, 0.003190, 0.921920, -0.426160, 0.351920,0.53413, 49.000000, 36.260000, 18 x 18,35.75,36.54,620.0,68.8,69.5, 7 x 10, 69.900000, -0.560290, 0.003180, 0.920030, -0.422890, -0.573670,0.53061, 34.000000,33.3,0.057,36.144999999999996,69.15,0.15616438356164383,-2.6503043426394157,0.0035199999999999676,1.0567581387421168,K>S,2.660630262639416,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.364410, 0.003030, 0.877960, -0.400280, 0.296150,0.52627, 3.000000, 25.350000, 13 x 20,27.1,27.79,645.0,84.8,85.75, 6 x 5, 85.150000, -0.635550, 0.003020, 0.875690, -0.395130, -0.635920,0.52251, 6.000000,58.3,0.099,27.445,85.275,0.15616438356164383,-2.6309819939045482,0.0037599999999999856,1.0993693540139764,K>S,2.6420119539045483,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.350680, 0.002990, 0.866580, -0.394370, 0.284790,0.52587, 626.000000, 26.000000, 5 x 17,25.7,26.26,650.0,88.3,89.24, 3 x 10, 89.710000, -0.649200, 0.002960, 0.863530, -0.388520, -0.645810,0.52119, 12.000000,63.3,0.108,25.98,88.77,0.15616438356164383,-2.6221175241575168,0.0046799999999999065,1.1078915970683483,K>S,2.6358463041575164,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.408380, 0.003080, 0.908050, -0.417670, 0.329560,0.53121, 12.000000, 31.900000, 3 x 16,32.15,32.8,630.0,74.85,75.9, 17 x 14, 76.190000, -0.591470, 0.003160, 0.906620, -0.413380, -0.600170,0.52733, 13.000000,43.3,0.074,32.474999999999994,75.375,0.15616438356164383,-2.607575403145489,0.0038799999999999946,1.0738026248508608,K>S,2.618957383145489,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.423890, 0.003130, 0.915680, -0.421420, 0.340240,0.53153, 21.000000, 34.600000, 15 x 17,33.89,34.6,625.0,71.75,72.59, 7 x 15, 72.220000, -0.576250, 0.003150, 0.913590, -0.417510, -0.587400,0.52892, 5.000000,38.3,0.065,34.245000000000005,72.17,0.15616438356164383,-2.601439872892385,0.002610000000000001,1.0652803817964887,K>S,2.609096307892385,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-06-25,1624651200,36.0, 0.156420, 0.002510, 0.448260, -0.300720, 0.085090,0.50203, 1.000000, 6.150000, 16 x 28,6.95,7.35,697.5,115.55,121.2, 21 x 1, 113.150000, -0.845500, 0.002510, 0.442540, -0.311110, -0.621880,0.49692, 1.000000,110.8,0.189,7.15,118.375,0.09863013698630137,-2.592982043476667,0.005110000000000003,1.1888529060848814,K>S,2.6079722284766667,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-06-25,1624651200,36.0, 0.197660, 0.002920, 0.518820, -0.349390, 0.106750,0.50206, 18.000000, 8.800000, 2 x 34,9.4,9.75,680.0,100.99,105.7, 14 x 16, 108.050000, -0.803110, 0.002920, 0.515450, -0.361920, -0.582510,0.49942, 1.000000,93.3,0.159,9.575,103.345,0.09863013698630137,-2.569076959317627,0.0026399999999999757,1.1590250553945798,K>S,2.5768213993176268,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.394110, 0.003140, 0.899160, -0.412060, 0.318100,0.5294, 3.000000, 30.770000, 1 x 24,30.39,31.09,635.0,78.1,79.0, 13 x 6, 102.150000, -0.606060, 0.003040, 0.896570, -0.407100, -0.612980,0.52499, 0.000000,48.3,0.082,30.740000000000002,78.55,0.15616438356164383,-2.5487109333984606,0.004410000000000025,1.0823248679052326,K>S,2.561647668398461,None
1621540800, 2021-05-20 16:00,2021-05-20,16.0,586.7, 2021-07-16,1626465600,57.0, 0.470260, 0.003210, 0.930190, -0.433040, 0.373800,0.53783, 42.000000, 39.600000, 1 x 10,39.95,40.56,610.0,62.7,63.65, 13 x 15, 66.720000, -0.529900, 0.003150, 0.928580, -0.429010, -0.545610,0.53457, 33.000000,23.3,0.04,40.255,63.175,0.15616438356164383,-2.503033282133323,0.0032600000000000406,1.039713652633373,K>S,2.5125964921333233,None
